# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1991.00000000   2.03419760   1.94354862   0.00001215   0.44597319
2001.00000000   2.03407655   1.94350376   0.00001206   0.44594022
2011.00000000   2.03395640   1.94345923   0.00001197   0.44590749
2021.00000000   2.03383715   1.94341503   0.00001188   0.44587500
2031.00000000   2.03371877   1.94337115   0.00001179   0.44584275
2041.00000000   2.03360126   1.94332759   0.00001170   0.44581073
2051.00000000   2.03348461   1.94328434   0.00001162   0.44577894
2061.00000000   2.03336880   1.94324140   0.00001153   0.44574737
2071.00000000   2.03325384   1.94319876   0.00001145   0.44571603
2081.00000000   2.03313970   1.94315643   0.00001137   0.44568492
2091.00000000   2.03302637   1.94311440   0.00001129   0.44565402
2101.00000000   2.03291386   1.94307266   0.00001121   0.44562334
2111.00000000   2.03280214   1.94303121   0.00001113   0.44559287
2121.00000000   2.03269121   1.94299005   0.00001105   0.44556261
2131.00000000   2.03258106   1.94294918   0.00001097   0.44553257
2141.00000000   2.03247168   1.94290858   0.00001090   0.44550273
2151.00000000   2.03236306   1.94286827   0.00001082   0.44547309
2161.00000000   2.03225519   1.94282823   0.00001075   0.44544366
2171.00000000   2.03214807   1.94278846   0.00001067   0.44541443
2181.00000000   2.03204168   1.94274897   0.00001060   0.44538539
2191.00000000   2.03193602   1.94270973   0.00001053   0.44535655
2201.00000000   2.03183108   1.94267077   0.00001045   0.44532791
2211.00000000   2.03172685   1.94263206   0.00001038   0.44529945
2221.00000000   2.03162332   1.94259360   0.00001031   0.44527118
2231.00000000   2.03152049   1.94255541   0.00001025   0.44524310
2241.00000000   2.03141834   1.94251746   0.00001018   0.44521521
2251.00000000   2.03131687   1.94247976   0.00001011   0.44518750
2261.00000000   2.03121608   1.94244231   0.00001004   0.44515996
2271.00000000   2.03111594   1.94240511   0.00000998   0.44513261
2281.00000000   2.03101647   1.94236814   0.00000991   0.44510544
2291.00000000   2.03091765   1.94233141   0.00000985   0.44507843
2301.00000000   2.03081946   1.94229492   0.00000978   0.44505161
2311.00000000   2.03072192   1.94225866   0.00000972   0.44502495
2321.00000000   2.03062500   1.94222263   0.00000966   0.44499846
2331.00000000   2.03052871   1.94218683   0.00000960   0.44497214
2341.00000000   2.03043303   1.94215125   0.00000953   0.44494599
2351.00000000   2.03033796   1.94211590   0.00000947   0.44492000
2361.00000000   2.03024350   1.94208077   0.00000941   0.44489417
2371.00000000   2.03014963   1.94204586   0.00000935   0.44486850
2381.00000000   2.03005635   1.94201116   0.00000930   0.44484300
2391.00000000   2.02996365   1.94197668   0.00000924   0.44481765
2401.00000000   2.02987153   1.94194241   0.00000918   0.44479245
2411.00000000   2.02977999   1.94190835   0.00000912   0.44476741
2421.00000000   2.02968901   1.94187450   0.00000907   0.44474252
2431.00000000   2.02959859   1.94184085   0.00000901   0.44471779
2441.00000000   2.02950873   1.94180741   0.00000896   0.44469320
