# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
24.70000000   1.08910840   2.31189665   0.01930179   0.31136331
24.80000000   1.08717702   2.31063922   0.01932832   0.31013995
24.90000000   1.08524302   2.30935567   0.01935421   0.30891055
25.00000000   1.08330646   2.30804582   0.01937943   0.30767513
25.10000000   1.08136740   2.30670949   0.01940399   0.30643369
25.20000000   1.07942593   2.30534648   0.01942787   0.30518623
25.30000000   1.07748209   2.30395662   0.01945105   0.30393275
25.40000000   1.07553597   2.30253973   0.01947353   0.30267325
25.50000000   1.07358763   2.30109565   0.01949529   0.30140775
25.60000000   1.07163715   2.29962418   0.01951632   0.30013624
25.70000000   1.06968485   2.29793348   0.01953009   0.29885891
25.80000000   1.06773129   2.29619310   0.01954230   0.29757608
25.90000000   1.06577654   2.29442590   0.01955374   0.29628776
26.00000000   1.06382068   2.29263177   0.01956439   0.29499396
26.10000000   1.06186379   2.29081060   0.01957425   0.29369472
26.20000000   1.05990595   2.28896228   0.01958330   0.29239005
26.30000000   1.05794724   2.28708669   0.01959154   0.29107996
26.40000000   1.05598775   2.28518374   0.01959895   0.28976449
26.50000000   1.05402755   2.28325333   0.01960553   0.28844365
26.60000000   1.05206673   2.28129537   0.01961126   0.28711746
26.70000000   1.05010538   2.27930976   0.01961615   0.28578596
26.80000000   1.04814358   2.27729643   0.01962017   0.28444918
26.90000000   1.04618141   2.27525527   0.01962332   0.28310712
27.00000000   1.04421897   2.27318623   0.01962560   0.28175984
27.10000000   1.04225634   2.27108923   0.01962699   0.28040735
27.20000000   1.04029361   2.26896419   0.01962749   0.27904969
27.30000000   1.03833087   2.26681106   0.01962708   0.27768689
27.40000000   1.03636821   2.26462977   0.01962577   0.27631899
27.50000000   1.03440573   2.26242028   0.01962354   0.27494601
27.60000000   1.03244351   2.26018253   0.01962038   0.27356800
27.70000000   1.03048165   2.25791648   0.01961630   0.27218500
27.80000000   1.02852024   2.25562210   0.01961127   0.27079704
27.90000000   1.02655937   2.25329934   0.01960530   0.26940417
28.00000000   1.02459914   2.25094818   0.01959837   0.26800642
28.10000000   1.02263965   2.24856860   0.01959049   0.26660384
28.20000000   1.02068099   2.24616058   0.01958165   0.26519647
28.30000000   1.01872326   2.24372412   0.01957183   0.26378436
28.40000000   1.01676656   2.24125920   0.01956104   0.26236756
28.50000000   1.01481098   2.23876582   0.01954926   0.26094611
28.60000000   1.01285662   2.23624399   0.01953650   0.25952007
28.70000000   1.01090358   2.23369373   0.01952275   0.25808948
28.80000000   1.00895196   2.23111506   0.01950801   0.25665440
28.90000000   1.00700186   2.22850799   0.01949226   0.25521488
29.00000000   1.00505337   2.22587255   0.01947552   0.25377097
29.10000000   1.00310661   2.22320879   0.01945776   0.25232274
29.20000000   1.00116167   2.22051675   0.01943900   0.25087024
29.30000000   0.99921866   2.21779647   0.01941922   0.24941353
29.40000000   0.99727766   2.21504802   0.01939842   0.24795267
29.50000000   0.99533879   2.21227145   0.01937661   0.24648772
29.60000000   0.99340215   2.20946683   0.01935378   0.24501875
29.70000000   0.99146784   2.20663425   0.01932993   0.24354581
29.80000000   0.98953596   2.20377377   0.01930505   0.24206898
29.90000000   0.98760661   2.20088549   0.01927915   0.24058831
30.00000000   0.98567990   2.19796951   0.01925222   0.23910389
30.10000000   0.98375592   2.19502593   0.01922427   0.23761577
30.20000000   0.98183479   2.19205485   0.01919530   0.23612403
30.30000000   0.97991660   2.18905639   0.01916530   0.23462874
30.40000000   0.97800146   2.18603068   0.01913428   0.23312998
30.50000000   0.97608947   2.18297784   0.01910223   0.23162781
30.60000000   0.97418072   2.17989800   0.01906916   0.23012231
30.70000000   0.97227533   2.17679132   0.01903508   0.22861357
30.80000000   0.97037339   2.17365794   0.01899998   0.22710165
30.90000000   0.96847501   2.17049801   0.01896386   0.22558663
31.00000000   0.96658029   2.16731170   0.01892673   0.22406860
31.10000000   0.96468932   2.16409918   0.01888860   0.22254763
31.20000000   0.96280222   2.16086063   0.01884946   0.22102381
31.30000000   0.96091907   2.15759622   0.01880932   0.21949723
31.40000000   0.95903998   2.15430615   0.01876819   0.21796795
31.50000000   0.95716505   2.15099062   0.01872606   0.21643608
31.60000000   0.95529437   2.14764982   0.01868295   0.21490169
31.70000000   0.95342806   2.14428398   0.01863886   0.21336487
31.80000000   0.95156619   2.14089329   0.01859380   0.21182572
31.90000000   0.94970887   2.13747799   0.01854777   0.21028431
32.00000000   0.94785620   2.13403830   0.01850078   0.20874074
32.10000000   0.94600827   2.13057447   0.01845283   0.20719510
32.20000000   0.94416518   2.12708672   0.01840394   0.20564747
32.30000000   0.94232702   2.12357531   0.01835411   0.20409796
32.40000000   0.94049389   2.12004050   0.01830336   0.20254665
32.50000000   0.93866587   2.11648254   0.01825168   0.20099364
32.60000000   0.93684312   2.11277023   0.01819455   0.19943907
32.70000000   0.93502663   2.10880419   0.01812855   0.19788381
32.80000000   0.93321678   2.10481860   0.01806174   0.19632821
32.90000000   0.93141364   2.10081382   0.01799414   0.19477237
33.00000000   0.92961729   2.09679020   0.01792576   0.19321639
33.10000000   0.92782782   2.09274810   0.01785661   0.19166037
33.20000000   0.92604530   2.08868791   0.01778672   0.19010442
33.30000000   0.92426980   2.08460999   0.01771609   0.18854863
33.40000000   0.92250140   2.08051471   0.01764473   0.18699310
33.50000000   0.92074016   2.07640245   0.01757268   0.18543794
