# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
2251.00000000   2.65752567   2.18244688   0.00000082   0.66418386
2261.00000000   2.65751748   2.18244523   0.00000082   0.66418283
2271.00000000   2.65750935   2.18244359   0.00000081   0.66418180
2281.00000000   2.65750127   2.18244195   0.00000081   0.66418078
2291.00000000   2.65749324   2.18244033   0.00000080   0.66417977
2301.00000000   2.65748526   2.18243872   0.00000079   0.66417876
2311.00000000   2.65747734   2.18243712   0.00000079   0.66417776
2321.00000000   2.65746947   2.18243553   0.00000078   0.66417676
2331.00000000   2.65746165   2.18243395   0.00000078   0.66417577
2341.00000000   2.65745387   2.18243238   0.00000077   0.66417479
2351.00000000   2.65744615   2.18243082   0.00000077   0.66417382
2361.00000000   2.65743848   2.18242927   0.00000076   0.66417285
2371.00000000   2.65743086   2.18242773   0.00000076   0.66417188
2381.00000000   2.65742328   2.18242620   0.00000075   0.66417093
2391.00000000   2.65741575   2.18242468   0.00000075   0.66416997
2401.00000000   2.65740827   2.18242317   0.00000075   0.66416903
2411.00000000   2.65740084   2.18242167   0.00000074   0.66416809
2421.00000000   2.65739345   2.18242017   0.00000074   0.66416716
2431.00000000   2.65738611   2.18241869   0.00000073   0.66416623
2441.00000000   2.65737881   2.18241722   0.00000073   0.66416531
2451.00000000   2.65737155   2.18241575   0.00000072   0.66416439
2461.00000000   2.65736435   2.18241430   0.00000072   0.66416348
2471.00000000   2.65735718   2.18241285   0.00000071   0.66416257
2481.00000000   2.65735006   2.18241141   0.00000071   0.66416167
2491.00000000   2.65734298   2.18240998   0.00000071   0.66416078
2501.00000000   2.65733594   2.18240856   0.00000070   0.66415989
2511.00000000   2.65732895   2.18240715   0.00000070   0.66415900
2521.00000000   2.65732200   2.18240574   0.00000069   0.66415813
2531.00000000   2.65731509   2.18240434   0.00000069   0.66415725
2541.00000000   2.65730822   2.18240296   0.00000068   0.66415638
2551.00000000   2.65730139   2.18240158   0.00000068   0.66415552
2561.00000000   2.65729460   2.18240020   0.00000068   0.66415466
2571.00000000   2.65728784   2.18239884   0.00000067   0.66415381
2581.00000000   2.65728113   2.18239749   0.00000067   0.66415296
2591.00000000   2.65727446   2.18239614   0.00000067   0.66415212
2601.00000000   2.65726783   2.18239480   0.00000066   0.66415128
2611.00000000   2.65726123   2.18239346   0.00000066   0.66415045
2621.00000000   2.65725467   2.18239214   0.00000065   0.66414962
2631.00000000   2.65724815   2.18239082   0.00000065   0.66414879
2641.00000000   2.65724167   2.18238951   0.00000065   0.66414797
2651.00000000   2.65723522   2.18238821   0.00000064   0.66414716
2661.00000000   2.65722881   2.18238692   0.00000064   0.66414635
2671.00000000   2.65722244   2.18238563   0.00000064   0.66414554
2681.00000000   2.65721610   2.18238435   0.00000063   0.66414474
2691.00000000   2.65720980   2.18238307   0.00000063   0.66414394
2701.00000000   2.65720353   2.18238181   0.00000062   0.66414315
2711.00000000   2.65719730   2.18238055   0.00000062   0.66414236
2721.00000000   2.65719110   2.18237930   0.00000062   0.66414158
2731.00000000   2.65718493   2.18237805   0.00000061   0.66414080
2741.00000000   2.65717880   2.18237681   0.00000061   0.66414003
2751.00000000   2.65717270   2.18237558   0.00000061   0.66413926
2761.00000000   2.65716664   2.18237435   0.00000060   0.66413849
2771.00000000   2.65716061   2.18237314   0.00000060   0.66413773
2781.00000000   2.65715461   2.18237192   0.00000060   0.66413697
2791.00000000   2.65714864   2.18237072   0.00000059   0.66413621
2801.00000000   2.65714271   2.18236952   0.00000059   0.66413546
2811.00000000   2.65713680   2.18236833   0.00000059   0.66413472
2821.00000000   2.65713093   2.18236714   0.00000059   0.66413398
2831.00000000   2.65712509   2.18236596   0.00000058   0.66413324
2841.00000000   2.65711928   2.18236479   0.00000058   0.66413250
2851.00000000   2.65711350   2.18236362   0.00000058   0.66413177
2861.00000000   2.65710775   2.18236246   0.00000057   0.66413105
2871.00000000   2.65710203   2.18236130   0.00000057   0.66413032
2881.00000000   2.65709634   2.18236015   0.00000057   0.66412960
2891.00000000   2.65709068   2.18235901   0.00000056   0.66412889
2901.00000000   2.65708505   2.18235787   0.00000056   0.66412818
2911.00000000   2.65707945   2.18235674   0.00000056   0.66412747
2921.00000000   2.65707388   2.18235561   0.00000056   0.66412676
2931.00000000   2.65706834   2.18235449   0.00000055   0.66412606
2941.00000000   2.65706282   2.18235338   0.00000055   0.66412537
2951.00000000   2.65705733   2.18235227   0.00000055   0.66412467
2961.00000000   2.65705187   2.18235117   0.00000054   0.66412398
2971.00000000   2.65704644   2.18235007   0.00000054   0.66412330
